epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,726.681,0.57752,0.8165,0.87812,0.59865,0.62845,0.63295,0.50575,0.66018,0.88958,0.86928,5.79586e-05,5.79586e-05,5.79586e-05
65,737.116,0.58024,0.80234,0.88196,0.68215,0.54651,0.63129,0.49753,0.65555,0.88458,0.87146,5.4704e-05,5.4704e-05,5.4704e-05
66,747.579,0.55887,0.79905,0.87999,0.62741,0.56911,0.63045,0.50689,0.65209,0.90717,0.87096,5.14494e-05,5.14494e-05,5.14494e-05
67,758.079,0.57723,0.80063,0.87678,0.64213,0.5734,0.62545,0.5036,0.64604,0.89847,0.87256,4.81948e-05,4.81948e-05,4.81948e-05
68,768.533,0.57354,0.79928,0.87998,0.68791,0.57542,0.63294,0.50384,0.64306,0.89463,0.8711,4.49401e-05,4.49401e-05,4.49401e-05
69,778.969,0.56309,0.78545,0.87686,0.68468,0.56073,0.63166,0.49923,0.64404,0.88393,0.87201,4.16855e-05,4.16855e-05,4.16855e-05
70,789.41,0.56669,0.81881,0.88055,0.66993,0.55914,0.6386,0.5123,0.64447,0.88521,0.87201,3.84309e-05,3.84309e-05,3.84309e-05
71,833.302,0.54991,0.83809,0.84214,0.54435,0.63419,0.63749,0.5078,0.64739,0.90157,0.87183,3.51763e-05,3.51763e-05,3.51763e-05
72,843.769,0.54912,0.83201,0.83745,0.54525,0.61016,0.63061,0.5047,0.64288,0.88854,0.8705,3.19216e-05,3.19216e-05,3.19216e-05
73,854.637,0.53747,0.79526,0.84431,0.58932,0.60021,0.62762,0.49872,0.64219,0.89404,0.86942,2.8667e-05,2.8667e-05,2.8667e-05
74,865.236,0.53597,0.79528,0.834,0.62203,0.60465,0.634,0.50895,0.64105,0.88609,0.8695,2.54124e-05,2.54124e-05,2.54124e-05
75,875.618,0.5219,0.79799,0.83725,0.63887,0.59219,0.6352,0.51332,0.64303,0.88275,0.86955,2.21577e-05,2.21577e-05,2.21577e-05
76,886.087,0.52754,0.78346,0.82843,0.63163,0.58696,0.63252,0.51337,0.64196,0.87103,0.86863,1.89031e-05,1.89031e-05,1.89031e-05
77,896.508,0.52337,0.78877,0.83619,0.62489,0.59053,0.63251,0.51007,0.63965,0.87243,0.86816,1.56485e-05,1.56485e-05,1.56485e-05
78,906.911,0.52754,0.77582,0.83383,0.66867,0.55895,0.63478,0.51368,0.6353,0.86996,0.86707,1.23939e-05,1.23939e-05,1.23939e-05
79,917.267,0.52414,0.76653,0.84178,0.67549,0.55849,0.63761,0.5135,0.63129,0.8688,0.86724,9.13925e-06,9.13925e-06,9.13925e-06
80,927.798,0.52804,0.77657,0.84166,0.66937,0.56329,0.63581,0.51256,0.63172,0.86711,0.86762,5.88462e-06,5.88462e-06,5.88462e-06
